userId,movieId,title,predicted_rating
540,6380,Capturing the Friedmans (2003),7.809233
540,2398,Miracle on 34th Street (1947),6.5894394
540,3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",6.536682
540,456,Fresh (1994),6.485708
540,3075,Repulsion (1965),6.41793
540,2693,Trekkies (1997),6.3951917
540,6385,Whale Rider (2002),6.376224
540,954,Mr. Smith Goes to Washington (1939),6.3595996
540,7034,Show Me Love (Fucking Åmål) (1998),6.3451858
540,6893,"Italian Job, The (1969)",6.3043175
540,7008,Last Tango in Paris (Ultimo tango a Parigi) (1972),6.2963886
540,5222,Kissing Jessica Stein (2001),6.2868667
540,49772,"Painted Veil, The (2006)",6.2377977
540,3341,Born Yesterday (1950),6.188411
540,62250,Gomorrah (Gomorra) (2008),6.1766715
540,926,All About Eve (1950),6.167973
540,232,Eat Drink Man Woman (Yin shi nan nu) (1994),6.1378856
540,2600,eXistenZ (1999),6.1220756
540,85774,Senna (2010),6.1110897
540,166534,Split (2017),6.099045
540,3200,"Last Detail, The (1973)",6.080488
540,89492,Moneyball (2011),6.0493355
540,928,Rebecca (1940),6.034753
540,3677,Baraka (1992),6.0329895
540,54190,Across the Universe (2007),6.0151772
540,3548,Auntie Mame (1958),6.002408
540,5570,Thesis (Tesis) (1996),5.999611
540,170705,Band of Brothers (2001),5.9910717
540,4383,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",5.9874
540,80693,It's Kind of a Funny Story (2010),5.9697423
540,4235,Amores Perros (Love's a Bitch) (2000),5.9619403
540,93840,"Cabin in the Woods, The (2012)",5.9497833
540,89904,The Artist (2011),5.940283
540,156726,Hush (2016),5.92437
540,105197,Nebraska (2013),5.9220877
540,26680,Cry-Baby (1990),5.9215407
540,5530,Simone (S1m0ne) (2002),5.9143224
540,150548,Sherlock: The Abominable Bride (2016),5.911447
540,6666,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",5.895825
540,6993,Hannah and Her Sisters (1986),5.888914
540,2295,"Impostors, The (1998)",5.887091
540,185029,A Quiet Place (2018),5.882895
540,4359,"Seven Year Itch, The (1955)",5.873719
540,1726,"Postman, The (1997)",5.8693624
540,42418,"New World, The (2005)",5.86579
540,334,Vanya on 42nd Street (1994),5.8580527
540,1192,Paris Is Burning (1990),5.854774
540,3224,Woman in the Dunes (Suna no onna) (1964),5.852073
540,3306,"Circus, The (1928)",5.843154
540,94503,"Decoy Bride, The (2011)",5.841377
580,74754,"Room, The (2003)",8.712923
580,86320,Melancholia (2011),7.4162955
580,7164,Peter Pan (2003),7.1831503
580,3272,Bad Lieutenant (1992),6.9648237
580,417,Barcelona (1994),6.765371
580,8951,Vera Drake (2004),6.6012435
580,72171,Black Dynamite (2009),6.5045633
580,73569,Project A 2 ('A' gai wak juk jap) (1987),6.4149637
580,5222,Kissing Jessica Stein (2001),6.381399
580,92309,"Innkeepers, The (2011)",6.3263965
580,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),6.2968817
580,82,Antonia's Line (Antonia) (1995),6.2249064
580,89904,The Artist (2011),6.1830664
580,103228,Pacific Rim (2013),6.1804023
580,2469,Peggy Sue Got Married (1986),6.179018
580,1379,Young Guns II (1990),6.1381183
580,39381,"Proposition, The (2005)",6.1214952
580,55280,Lars and the Real Girl (2007),6.1148944
580,2372,Fletch Lives (1989),6.092412
580,70565,"Goods: Live Hard, Sell Hard, The (2009)",6.0463524
580,932,"Affair to Remember, An (1957)",6.0370746
580,3896,"Way of the Gun, The (2000)",5.9787536
580,49347,Fast Food Nation (2006),5.9757004
580,83803,Day & Night (2010),5.9725313
580,168252,Logan (2017),5.925588
580,60684,Watchmen (2009),5.908863
580,8966,Kinsey (2004),5.906956
580,6818,Come and See (Idi i smotri) (1985),5.905856
580,122918,Guardians of the Galaxy 2 (2017),5.883065
580,1366,"Crucible, The (1996)",5.8819995
580,159817,Planet Earth (2006),5.8706164
580,4256,"Center of the World, The (2001)",5.867816
